Id,Label,name,city,country,icao,latitude,longitude,altitude,timezone,dst,tz database time zone,type,source,weighted indegree,weighted outdegree,Weighted Degree,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,stat_inf_class,nodecolor-multimode,giantcomponent,pageranks,eigencentrality
1,GKA,Goroka Airport,Goroka,Papua New Guinea,AYGA,-6.08169,145.391998,5282,10,U,Pacific/Port_Moresby,airport,OurAirports,5,5,10,7,5,5,10,9,0.22847,0.239238,0,71,red,0,0.000174,0.000554
2,MAG,Madang Airport,Madang,Papua New Guinea,AYMD,-5.20708,145.789002,20,10,U,Pacific/Port_Moresby,airport,OurAirports,8,8,16,7,8,8,16,9,0.22852,0.239712,0,71,blue,0,0.000279,0.000618
3,HGU,Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,AYMH,-5.82679,144.296005,5388,10,U,Pacific/Port_Moresby,airport,OurAirports,12,10,22,7,12,10,22,9,0.228536,0.23987,0,71,blue,0,0.000393,0.000967
4,LAE,Nadzab Airport,Nadzab,Papua New Guinea,AYNZ,-6.569803,146.725977,239,10,U,Pacific/Port_Moresby,airport,OurAirports,11,11,22,7,11,11,22,9,0.228553,0.240028,0,71,blue,0,0.000347,0.000923
5,POM,Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,AYPY,-9.44338,147.220001,146,10,U,Pacific/Port_Moresby,airport,OurAirports,47,48,95,7,47,48,95,8,0.296016,0.320554,0.002346,71,blue,0,0.00127,0.017132
6,WWK,Wewak International Airport,Wewak,Papua New Guinea,AYWK,-3.58383,143.669006,19,10,U,Pacific/Port_Moresby,airport,OurAirports,6,6,12,7,6,6,12,9,0.22847,0.239238,0,71,red,0,0.000222,0.000501
7,UAK,Narsarsuaq Airport,Narssarssuaq,Greenland,BGBW,61.1605,-45.425999,112,-3,E,America/Godthab,airport,OurAirports,5,5,10,12,5,5,10,9,0.215072,0.223167,0.000428,7,blue,0,0.00034,0.000307
8,GOH,Godthaab / Nuuk Airport,Godthaab,Greenland,BGGH,64.190903,-51.678101,283,-3,E,America/Godthab,airport,OurAirports,8,8,16,12,8,8,16,8,0.248684,0.261812,0.000812,7,blue,0,0.00048,0.000875
9,SFJ,Kangerlussuaq Airport,Sondrestrom,Greenland,BGSF,67.012222,-50.711603,165,-3,E,America/Godthab,airport,OurAirports,7,7,14,12,7,7,14,8,0.269752,0.285299,0.001218,7,red,0,0.00039,0.002077
10,THU,Thule Air Base,Thule,Greenland,BGTL,76.531197,-68.703201,251,-4,E,America/Thule,airport,OurAirports,1,1,2,12,1,1,2,12,0.130785,0.132754,0,7,red,0,0.000146,0.000057
11,AEY,Akureyri Airport,Akureyri,Iceland,BIAR,65.660004,-18.0727,6,0,N,Atlantic/Reykjavik,airport,OurAirports,1,1,2,12,1,1,2,10,0.16615,0.170092,0,7,blue,0,0.000127,0.000059
12,EGS,Egilssta�ir Airport,Egilsstadir,Iceland,BIEG,65.283302,-14.4014,76,0,N,Atlantic/Reykjavik,airport,OurAirports,1,1,2,12,1,1,2,10,0.16615,0.170092,0,7,blue,0,0.000127,0.000059
13,HFN,Hornafj�r�ur Airport,Hofn,Iceland,BIHN,64.295601,-15.2272,24,0,N,Atlantic/Reykjavik,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,1,0.000039,0
14,HZK,H�sav�k Airport,Husavik,Iceland,BIHU,65.952301,-17.426001,48,0,N,Atlantic/Reykjavik,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,2,0.000039,0
15,IFJ,�safj�r�ur Airport,Isafjordur,Iceland,BIIS,66.058098,-23.1353,8,0,N,Atlantic/Reykjavik,airport,OurAirports,1,1,2,12,1,1,2,10,0.16615,0.170092,0,7,blue,0,0.000127,0.000059
16,KEF,Keflavik International Airport,Keflavik,Iceland,BIKF,63.985001,-22.6056,171,0,N,Atlantic/Reykjavik,airport,OurAirports,46,45,91,5,46,45,91,7,0.329585,0.358825,0.001013,7,red,0,0.000427,0.074961
17,PFJ,Patreksfj�r�ur Airport,Patreksfjordur,Iceland,BIPA,65.555801,-23.965,11,0,N,Atlantic/Reykjavik,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,3,0.000039,0
18,RKV,Reykjavik Airport,Reykjavik,Iceland,BIRK,64.129997,-21.940599,48,0,N,Atlantic/Reykjavik,airport,OurAirports,4,4,8,12,4,4,8,9,0.199245,0.206248,0.000321,7,red,0,0.000412,0.000232
19,SIJ,Siglufj�r�ur Airport,Siglufjordur,Iceland,BISI,66.133301,-18.9167,10,0,N,Atlantic/Reykjavik,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,4,0.000039,0
20,VEY,Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,BIVM,63.424301,-20.2789,326,0,N,Atlantic/Reykjavik,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,5,0.000039,0
21,YAM,Sault Ste Marie Airport,Sault Sainte Marie,Canada,CYAM,46.485001,-84.509399,630,-5,A,America/Toronto,airport,OurAirports,4,4,8,8,4,4,8,8,0.282312,0.296941,0,79,red,0,0.000118,0.002901
22,\N,Winnipeg / St. Andrews Airport,Winnipeg,Canada,CYAV,50.0564,-97.032501,760,-6,A,America/Winnipeg,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,6,0.000039,0
23,\N,Halifax / CFB Shearwater Heliport,Halifax,Canada,CYAW,44.639702,-63.499401,144,-4,A,America/Halifax,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,7,0.000039,0
24,YAY,St. Anthony Airport,St. Anthony,Canada,CYAY,51.391899,-56.083099,108,-3.5,A,America/St_Johns,airport,OurAirports,3,3,6,0,3,3,6,9,0.233149,0.242143,0.00005,74,blue,0,0.000129,0.000318
25,YAZ,Tofino / Long Beach Airport,Tofino,Canada,CYAZ,49.079833,-125.775583,80,-8,A,America/Vancouver,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,8,0.000039,0
26,YBB,Kugaaruk Airport,Pelly Bay,Canada,CYBB,68.534401,-89.808098,56,-7,A,America/Edmonton,airport,OurAirports,0,0,0,0,0,0,0,0,0,0,0,0,black,9,0.000039,0
27,YBC,Baie Comeau Airport,Baie Comeau,Canada,CYBC,49.1325,-68.204399,71,-5,A,America/Toronto,airport,OurAirports,6,6,12,0,6,6,12,8,0.262503,0.276432,0,74,blue,0,0.000143,0.002389
28,YBG,CFB Bagotville,Bagotville,Canada,CYBG,48.330601,-70.996399,522,-5,A,America/Toronto,airport,OurAirports,4,4,8,0,4,4,8,8,0.262438,0.276363,0.000002,74,blue,0,0.000119,0.001901
29,YBK,Baker Lake Airport,Baker Lake,Canada,CYBK,64.298897,-96.077797,59,-6,A,America/Winnipeg,airport,OurAirports,6,6,12,0,6,6,12,10,0.190193,0.196547,0,0,red,0,0.000218,0.000433
30,YBL,Campbell River Airport,Campbell River,Canada,CYBL,49.950802,-125.271004,346,-8,A,America/Vancouver,airport,OurAirports,6,6,12,8,6,6,12,9,0.263596,0.276495,0.000076,0,red,0,0.000149,0.004131
31,YBR,Brandon Municipal Airport,Brandon,Canada,CYBR,49.91,-99.951897,1343,-6,A,America/Winnipeg,airport,OurAirports,1,1,2,8,1,1,2,9,0.254339,0.265542,0,0,red,0,0.000049,0.001022
32,YCB,Cambridge Bay Airport,Cambridge Bay,Canada,CYCB,69.108101,-105.138001,90,-7,A,America/Edmonton,airport,OurAirports,6,6,12,0,6,6,12,10,0.205,0.212391,0,0,blue,0,0.000256,0.000445
